Years,World,Central and East Asia,Europe,Latin America,Middle East/North Africa,North America,Oceania,South Asia,Southeast Asia,Sub-Saharan Africa
2089,-0.501105765553908,0.281519969148489,-0.24149660459731,-0.482712785308585,-0.658163307182425,-0.353277231640871,-0.245017683589809,-0.160182493339518,-0.677979735681596,-0.635598314794255
2090,-0.50379349492229,0.284025752164028,-0.243087498433637,-0.485401839707231,-0.66100999469401,-0.355307321726664,-0.246706896928544,-0.161208681992183,-0.680944749838006,-0.638454441873804
2091,-0.506384239018439,0.286459436478756,-0.244626160933609,-0.487994442491454,-0.663745610687201,-0.357268542165202,-0.248340515120337,-0.16220200683558,-0.683791779461748,-0.641200527034012
2092,-0.50888180385381,0.288822891938083,-0.246114354715668,-0.490494342896495,-0.666375022181641,-0.359163354324662,-0.249920417533567,-0.16316353277745,-0.686526118755296,-0.643841317209165
2093,-0.511289835034799,0.291117955601058,-0.247553785310644,-0.492905132126732,-0.668902863581533,-0.360994128563985,-0.251448420081304,-0.164094290976141,-0.689152794842264,-0.646381324668596
2094,-0.513611823771412,0.293346431017976,-0.248946097879295,-0.495230251657761,-0.671333540653684,-0.362763148561737,-0.252926279023934,-0.164995279662023,-0.691676593665351,-0.648824849923118
2095,-0.515851112816391,0.295510087661671,-0.250292879861144,-0.49747300141943,-0.673671247605143,-0.364472610550428,-0.254355689855512,-0.165867464977113,-0.694102058704313,-0.651175990856389
2096,-0.518010905717147,0.297610660495455,-0.251595669434795,-0.499636543146593,-0.675919976574213,-0.366124628011854,-0.255738288356341,-0.166711781825133,-0.69643350989198,-0.653438651635109
2097,-0.520094269883613,0.299649845546146,-0.252855945607376,-0.501723903664353,-0.67808352684169,-0.36772123505448,-0.257075656773338,-0.167529134731263,-0.698675055225195,-0.655616551371937
2098,-0.522104140778955,0.301629306660917,-0.254075142270114,-0.503737989411565,-0.680165513742794,-0.369264390632527,-0.258369321563115,-0.168320398703542,-0.700830600558828,-0.657713232520684
2099,-0.524043334535986,0.303550673070641,-0.255254638467345,-0.505681579771075,-0.682169387341384,-0.370755980118306,-0.25962075642435,-0.169086420086036,-0.702903860859889,-0.659732071989987
